ID,Journal Name,Topic,Subtopic,RSS Feed,Tracking Status,Last Updated,Priority,Website
1,American Journal of Sports Medicine,Sports Medicine,General,https://journals.sagepub.com/action/showFeed?jc=ajsa&type=etoc&feed=rss,Active,,Medium,https://www.ajsm.org
2,Journal of Physiology,Physiology,General,https://rupress.org/jgp/pages/rss,Active,,Medium,https://www.physoc.org/journal/the-journal-of-physiology/
3,Sports Medicine,Sports Medicine,General,https://link.springer.com/search.rss?facet-journal-id=40279,Active,,Medium,https://www.springer.com/journal/40279
4,British Journal of Sports Medicine,Sports Medicine,General,https://bjsm.bmj.com/pages/rss-feeds,Active,,Medium,https://bjsm.bmj.com/
5,Exercise and Sport Sciences Reviews,Sports Science,Reviews,https://journals.lww.com/acsm-essr/_layouts/15/Ovid.Custom/rss/feed.aspx?FeedType=CurrentIssue,Active,,Medium,http://www.acsm-essr.com/
6,Medicine and Science in Sports and Exercise,Sports Science,General,,Active,,Medium,http://acsm-msse.org
7,International Review of Sport and Exercise Psychology,Psychology,General,https://www.tandfonline.com/action/showFeed?jc=rirs20&type=etoc&feed=rss,Active,,Medium,https://www.tandfonline.com/toc/rirs20/current
8,International Journal of Sports Physiology and Performance,Physiology,Performance,https://journals.humankinetics.com/action/showFeed?jc=ijspp&type=etoc&feed=rss,Active,,Medium,https://journals.humankinetics.com/view/journals/ijspp/ijspp-overview.xml
9,Journal of Applied Physiology,Physiology,Applied,https://journals.physiology.org/journal/jappl,Active,,Medium,https://journals.physiology.org/journal/jappl
10,Journal of Science and Medicine in Sport,Sports Medicine,General,https://www.jsams.org/inpress.rss,Active,,Medium,https://www.jsams.org/
11,Psychology of Sport and Exercise,Psychology,General,https://rss.sciencedirect.com/publication/science/14690292,Active,,Medium,https://www.journals.elsevier.com/psychology-of-sport-and-exercise
12,Journal of Sport and Exercise Psychology,Psychology,General,https://journals.humankinetics.com/action/showFeed?jc=jsep&type=etoc&feed=rss,Active,,Medium,https://journals.humankinetics.com/view/journals/jsep/jsep-overview.xml
13,Journal of Biomechanics,Biomechanics,General,https://rss.sciencedirect.com/publication/science/00219290,Active,,Medium,https://www.journals.elsevier.com/journal-of-biomechanics
14,Journal of Strength and Conditioning Research,Sports Science,Strength & Conditioning,https://journals.lww.com/nsca-jscr/_layouts/15/Ovid.Custom/rss/feed.aspx?FeedType=CurrentIssue,Active,,Medium,https://journals.lww.com/nsca-jscr/
15,Journal of Sports Sciences,Sports Science,General,https://www.tandfonline.com/action/showFeed?jc=rjsp20&type=etoc&feed=rss,Active,,Medium,https://www.tandfonline.com/toc/rjsp20/current
16,Scandinavian Journal of Medicine and Science in Sports,Sports Medicine,General,https://onlinelibrary.wiley.com/feed/16000838/most-recent,Active,,Medium,https://onlinelibrary.wiley.com/journal/16000838
17,European Journal of Applied Physiology,Physiology,Applied,https://link.springer.com/search.rss?facet-journal-id=421,Active,,Medium,https://www.springer.com/journal/421
18,International Journal of Sport Nutrition and Exercise Metabolism,Nutrition,Metabolism,https://journals.humankinetics.com/action/showFeed?jc=ijsnem&type=etoc&feed=rss,Active,,Medium,https://journals.humankinetics.com/view/journals/ijsnem/ijsnem-overview.xml
19,Clinical Biomechanics,Biomechanics,Clinical,https://rss.sciencedirect.com/publication/science/02680033,Active,,Medium,https://www.journals.elsevier.com/clinical-biomechanics
20,"Applied Physiology, Nutrition and Metabolism",Physiology,Nutrition,https://cdnsciencepub.com/action/showFeed?jc=apnm&type=etoc&feed=rss,Active,,Medium,https://cdnsciencepub.com/journal/apnm
21,Journal of Electromyography and Kinesiology,Kinesiology,Electromyography,https://rss.sciencedirect.com/publication/science/10506411,Active,,Medium,https://www.journals.elsevier.com/journal-of-electromyography-and-kinesiology
22,Research in Sports Medicine,Sports Medicine,Research,https://www.tandfonline.com/action/showFeed?jc=gspm20&type=etoc&feed=rss,Active,,Medium,https://www.tandfonline.com/toc/gspm20/current
23,Sport Psychologist,Psychology,General,https://journals.humankinetics.com/action/showFeed?jc=tsp&type=etoc&feed=rss,Active,,Medium,https://journals.humankinetics.com/view/journals/tsp/tsp-overview.xml
24,Frontiers,General Science,Frontiers,https://www.frontiersin.org/journals/science/rss,Active,,Medium,https://www.frontiersin.org/
25,PeerJ Anatomy and Physiology,Physiology,Anatomy,https://peerj.com/anatomy-and-physiology.rss,Active,,Medium,https://peerj.com/anatomy-and-physiology/
26,Research Quarterly for Exercise and Sport,Sports Science,Research,https://www.tandfonline.com/action/showFeed?jc=urqe20&type=etoc&feed=rss,Active,,Medium,https://www.tandfonline.com/toc/urqe20/current
27,Exercise Immunology Review,Immunology,Exercise,,Active,,Medium,http://exerciseimmunology.com/
28,Human Movement Science,Biomechanics,Movement,https://rss.sciencedirect.com/publication/science/01679457,Active,,Medium,https://www.journals.elsevier.com/human-movement-science
29,International Journal of Sports Medicine,Sports Medicine,General,https://www.thieme-connect.com/products/ejournals/rss/10.1055/s-00000024,Active,,Medium,https://www.thieme.com/books-main/sports-medicine/product/2165-international-journal-of-sports-medicine
30,Journal of Athletic Training,Sports Medicine,Athletic Training,https://meridian.allenpress.com/jat/rss/site_1000001/1000011.xml,Active,,Medium,https://meridian.allenpress.com/jat
31,Muscle & Nerve,Physiology,Muscle,https://onlinelibrary.wiley.com/feed/10974598/most-recent,Active,,Medium,https://onlinelibrary.wiley.com/journal/10974598
32,THE JOURNAL OF SPORTS MEDICINE AND PHYSICAL FITNESS,Sports Medicine,Physical Fitness,https://www.minervamedica.it/en/journals/sports-med-physical-fitness/rss.xml,Active,,Medium,https://www.minervamedica.it/en/journals/sports-med-physical-fitness/
33,Journal of Sports Science and Medicine,Sports Science,General,https://www.jssm.org/rss/jssm.xml,Active,,Medium,https://www.jssm.org/
34,Journal of Experimental Biology,Biology,Experimental,https://journals.biologists.com/jeb/rss/site_14/15.xml,Active,,Medium,https://journals.biologists.com/jeb
35,Acta Physiologica,Physiology,General,https://onlinelibrary.wiley.com/feed/17481716/most-recent,Active,,Medium,https://onlinelibrary.wiley.com/journal/17481716
36,European Journal of Sport Science,Sports Science,General,https://www.tandfonline.com/action/showFeed?jc=tejs20&type=etoc&feed=rss,Active,,Medium,https://www.tandfonline.com/toc/tejs20/current
37,American Journal of Physical Medicine & Rehabilitation,Rehabilitation,Physical Medicine,https://journals.lww.com/ajpmr/_layouts/15/Ovid.Custom/rss/feed.aspx?FeedType=CurrentIssue,Active,,Medium,https://journals.lww.com/ajpmr/pages/default.aspx
38,"American Journal of Physiology. Regulatory, Integrative and Comparative Physiology",Physiology,Regulatory,https://journals.physiology.org/action/showFeed?jc=ajpregu&type=etoc&feed=rss,Active,,Medium,https://journals.physiology.org/journal/ajpregu
